Date,Open,High,Low,Close,Adj Close,Volume
2015-04-22,1215.75,1236.5,1203.775024,1222.550049,1073.056519,4186812
2015-04-23,1236,1239.900024,1215.849976,1228.625,1078.389282,4342990
2015-04-24,1227.650024,1257,1223.775024,1246.525024,1094.099731,3625158
2015-04-27,1249.75,1260,1243,1250.099976,1097.237915,2733052
2015-04-28,1255,1255,1227.550049,1247.5,1094.955811,3088298
2015-04-29,1242,1247.5,1225.525024,1243.650024,1091.576416,2019620
2015-04-30,1240,1245,1213.550049,1231.849976,1081.21936,3738054
2015-05-04,1245.5,1252.400024,1228.599976,1240.775024,1089.053467,1890630
2015-05-05,1250.5,1268.224976,1250,1258.925049,1104.983887,3255070
2015-05-06,1257.5,1257.5,1227.900024,1231.525024,1080.934082,3394406
2015-05-07,1232.449951,1276.875,1226.849976,1272.625,1117.008545,3205028
2015-05-08,1280,1294,1258.150024,1263.625,1109.108643,3003664
2015-05-11,1267.5,1281.525024,1262.5,1278,1121.726074,2573082
2015-05-12,1280,1282.5,1256.5,1261.449951,1107.199707,2467386
2015-05-13,1273.5,1273.5,1240.224976,1257.699951,1103.908325,1863774
2015-05-14,1260,1260,1242.5,1249.625,1096.820923,1309050
2015-05-15,1257.5,1266.199951,1250.5,1255.574951,1102.043213,1461454
2015-05-18,1257.050049,1262.625,1248.550049,1260.199951,1106.102905,4507752
2015-05-19,1259.699951,1265,1248.375,1256.349976,1102.723511,1957722
2015-05-20,1260,1284.949951,1258.449951,1278.525024,1122.187256,1897814
2015-05-21,1278.5,1290,1274.074951,1277.75,1121.506958,1579578
2015-05-22,1275,1314.375,1269.625,1308.949951,1148.891602,2691632
2015-05-25,1310,1318.449951,1292.849976,1300.5,1141.475098,982978
2015-05-26,1302.5,1311.625,1294.449951,1304.425049,1144.919922,1961740
2015-05-27,1304,1316.574951,1296,1307.625,1147.728394,1620690
2015-05-28,1301.949951,1311.5,1291.125,1304.75,1145.205322,2763608
2015-05-29,1308.5,1324.300049,1298.625,1305.150024,1145.556152,4423532
2015-06-01,1304.724976,1323.550049,1304.175049,1308.875,1148.825806,882264
2015-06-02,1308,1315,1295.25,1299.949951,1140.992188,3935820
2015-06-03,1302,1312.800049,1295.25,1305.449951,1145.819702,1804684
2015-06-04,1308.550049,1311.400024,1294.25,1302.824951,1143.515381,4131468
2015-06-05,1296,1304.5,1285,1287.925049,1140.946777,2308534
2015-06-08,1295,1295,1280.824951,1288.724976,1141.655151,1570320
2015-06-09,1292.5,1295,1275.5,1280.824951,1134.656616,2578914
2015-06-10,1283,1305,1281.900024,1300.375,1151.975708,2763350
2015-06-11,1302.75,1306.5,1278.375,1285.650024,1138.931152,1847336
2015-06-12,1285.949951,1294.474976,1238.400024,1252.900024,1109.918823,2571456
2015-06-15,1252.650024,1260.224976,1240.5,1252.400024,1109.47583,2525176
2015-06-16,1250,1259.650024,1247.224976,1256,1112.665039,1267396
2015-06-17,1260.5,1264.574951,1250.900024,1256.900024,1113.46228,1975720
2015-06-18,1257.5,1273.150024,1254,1265.025024,1120.660156,2165046
2015-06-19,1267.5,1277.5,1263.550049,1274.775024,1129.297485,1999610
2015-06-22,1273.5,1300,1273.5,1295.75,1147.878662,1102002
2015-06-23,1300,1304,1283.599976,1287.300049,1140.3927,898318
2015-06-24,1290,1293.949951,1279.425049,1285.150024,1138.488281,1170246
2015-06-25,1281,1286.5,1272.074951,1275,1129.49646,1930992
2015-06-26,1275.099976,1298.175049,1275.099976,1296.400024,1148.45459,1290102
2015-06-29,1286,1302,1271.699951,1296.449951,1148.498657,1372756
2015-06-30,1292.5,1294.375,1270,1275.474976,1129.91748,1549952
2015-07-01,1281.949951,1304,1278.375,1296.550049,1148.58728,1279708
2015-07-02,1300,1301.474976,1285.525024,1288.875,1141.788208,1445880
2015-07-03,1286.525024,1305,1285,1301.949951,1153.371216,963470
2015-07-06,1290.150024,1322.5,1290.150024,1316.650024,1166.393677,1182338
2015-07-07,1316.375,1323.449951,1301.5,1308.125,1158.841431,1642836
2015-07-08,1298.974976,1310.849976,1290.25,1297.550049,1149.473267,2667850
2015-07-09,1297.5,1299.125,1253.324951,1261.25,1117.315674,3934122
2015-07-10,1279.5,1279.5,1227.5,1237.175049,1095.988159,8263654
2015-07-13,1237.699951,1259.300049,1237.699951,1254.775024,1111.57959,2280308
2015-07-14,1255.5,1257.5,1245,1249.75,1107.128418,1703274
2015-07-15,1250.5,1274.974976,1250,1272.875,1127.61438,2003660
2015-07-16,1271.849976,1279.425049,1263.300049,1270.099976,1125.156006,1456608
2015-07-17,1273.400024,1285.050049,1271.650024,1282.199951,1135.874878,1070526
2015-07-20,1282,1291.949951,1275.949951,1289.574951,1144.86377,853786
2015-07-21,1288,1300.175049,1277.550049,1280.699951,1136.984741,1274500
2015-07-22,1280.5,1284.5,1260.525024,1264.025024,1122.180542,1320628
2015-07-23,1258.75,1268.925049,1241.5,1244.300049,1104.669434,1496780
2015-07-24,1248.75,1258.25,1246.050049,1252.574951,1112.015747,1574972
2015-07-27,1244,1252.5,1240.574951,1248.525024,1108.42041,2003738
2015-07-28,1249.75,1259.5,1246.074951,1251.025024,1110.639771,1891188
2015-07-29,1255.5,1257.525024,1241.75,1253.375,1112.72583,2413318
2015-07-30,1258.025024,1258.400024,1236.400024,1240.324951,1101.140259,2770574
2015-07-31,1244.949951,1259.5,1243.5,1255.375,1114.501587,1963776
2015-08-03,1251.699951,1262.5,1250.449951,1254.800049,1113.991211,1179324
2015-08-04,1255.199951,1261.5,1243,1254.449951,1113.680298,2342692
2015-08-05,1260,1275,1255.5,1273.574951,1130.65918,988994
2015-08-06,1282.5,1291.5,1275.050049,1286.650024,1142.267212,2211366
2015-08-07,1286.5,1286.5,1273.5,1276.025024,1132.834229,1188506
2015-08-10,1286,1294.5,1278.300049,1286.050049,1141.734497,1431182
